title,description,content,url,publishedat,sourcename,country
"Iran truce boosts frequent flyer points, not talking points","It's a ceasefire in name only between Israel and its targets in Lebanon, as the wait continues for more talks between the US and Iran.","Hi, I'm ABC Middle East correspondent Matthew Doran, and I'm in Jerusalem. From today, I'll be writing a weekly update on what's been going on in the Middle East war and what to look for in the days ahead.
It’s the end of:
day 58 of the war
day 19 of... [5570 chars]",https://www.abc.net.au/news/2026-04-27/iran-israel-war-news-briefing/106602790,2026-04-26T20:19:00Z,abc.net.au,Nepal
Donald Trump says Washington shooter's 'manifesto' shows he was a 'sick guy',"The suspect who opened fire at the the White House correspondents' dinner, has been identified Cole Tomas Allen, a 31-year-old teacher and engineer.","By Brad Ryan, ABC
US President Donald Trump says a ""manifesto"" apparently written by the shooter at the White House correspondents' dinner reveals he is a ""sick guy"" who ""hates Christians"".
Several US media outlets have reported on the existence of t... [3157 chars]",https://www.rnz.co.nz/news/world/593484/donald-trump-says-washington-shooter-s-manifesto-shows-he-was-a-sick-guy,2026-04-26T20:18:55Z,RNZ,Nepal
‘IT: Welcome to Derry’ Creator On Less,‘IT: Welcome to Derry’ Creator Andy Muschietti says in an interview Season 2’s 1930s-era storyline draws from a less-explored subplot in Stephen King’s novel.,"It: Welcome to Derry creator/director/executive producer Andy Muschietti continues to mine author Stephen King’s source novel for compelling nuggets he can expand and refine into prequel story arcs for HBO’s horrific hit limited series, having settle... [2616 chars]",https://deadline.com/2026/04/it-welcome-to-derry-creator-andy-muschietti-interview-1236872677/,2026-04-26T20:18:00Z,Deadline,Nepal
"Former Israeli PMs Bennett, Lapid unite to challenge Netanyahu in elections",The two politicians’ alliance is aimed at uniting a fragmented opposition against current PM Benjamin Netanyahu.,"Two ⁠of Israeli Prime Minister Benjamin ⁠Netanyahu’s biggest political rivals say they are joining forces in a bid to oust his coalition government in the upcoming election expected later this year.
The former prime ministers – right-wing Naftali Ben... [3258 chars]",https://www.aljazeera.com/news/2026/4/26/former-israeli-pms-bennett-lapid-unite-to-challenge-netanyahu-in-elections,2026-04-26T20:17:42Z,Al Jazeera,Nepal
The Cage viewers make same comment about Sheridan Smith moments before show starts,Sheridan Smith is no stranger to playing a Scouser on the screen,"Sheridan Smith is no stranger to playing a Scouser on the screen
One of the most highly-anticipated BBC dramas of the year got underway this evening as the first episode of The Cage was broadcast. Moments before the show, viewers made the same commen... [2662 chars]",https://www.liverpoolecho.co.uk/news/liverpool-news/cage-viewers-make-same-comment-33841812,2026-04-26T20:17:00Z,Liverpool Echo,Nepal
Video of Durban shooting that left suspect dead goes viral as police investigate,KwaZulu-Natal police are trying to piece together the events that led to a shooting in Durban that resulted in a suspect being killed on Sunday.,"A video of a shooting on Sunday in Overport, Durban, during which a suspect was killed, has gone viral.
Police are investigating the incident.
The Overport Ratepayers Association has issued a scathing statement in which it described the shooting as t... [2033 chars]",https://www.news24.com/southafrica/crime-and-courts/video-of-durban-shooting-that-left-suspect-dead-goes-viral-as-police-investigate-20260426-1213,2026-04-26T20:15:51Z,News24,Nepal
"Suspect in correspondents’ dinner shooting wrote anti-Christian manifesto, Trump says","Cole Tomas Allen of Torrance, Calif., was arrested at the scene of the event",U.S. President Donald Trump said on Sunday that the suspect accused of trying to attack administration officials at Saturday night’s White House Correspondents’ Association dinner had an anti-Christian manifesto and “a lot of hatred in his heart” but... [5708 chars],https://www.theglobeandmail.com/world/article-suspect-correspondents-dinner-manifesto-trump/,2026-04-26T20:15:47Z,The Globe and Mail,Nepal
Govt introduces user friendly wealth declaration tool,"The User Guide is structured to explain the scope and applicability of the law, clarify the responsibilities and obligations of public officers, and guide the declaration of income, assets, and...","Last year, the former Inspector General of Government (IGG), Ms Betty Kamya, indicated that out of the 32,068 leaders expected to declare in March 2025, about 28,856 (90%) declared, leaving a total of 3,212 leaders (10%) who didn’t declare, raising c... [1330 chars]",https://www.monitor.co.ug/uganda/news/national/govt-introduces-user-friendly-wealth-declaration-tool-5437456,2026-04-26T20:15:00Z,Daily Monitor,Nepal
"Iran's Araghchi briefly returns to Pakistan, Trump says they can call",Iran's foreign minister briefly visited Islamabad again as Pakistani leaders scrambled to reignite ceasefire negotiations between Tehran and the U.S.,"Anadolu | Anadolu | Getty Images
Iran's foreign minister briefly visited Islamabad again on Sunday as Pakistan's political and military leadership scrambled to reignite ceasefire negotiations between Tehran and Washington, but U.S. President Donald T... [4734 chars]",https://www.cnbc.com/2026/04/26/irans-araghchi-briefly-returns-to-pakistan-trump-says-they-can-call.html,2026-04-26T20:14:29Z,CNBC,Nepal
Bhooth Bangla - Box Office Collection Day 11,"Bhooth Bangla day wise box office collection analysis. The movie collected ₹135.0 crores in 11 days across 110093 shows with 6055368 footfalls. Daily collection: Day 0: ₹4.5 Cr, Day 1: ₹14.7 Cr, Day 2: ₹22.8 Cr and more. Get complete day wise box office collection, occupancy, footfalls and detailed analysis on Sacnilk.","Bhooth Bangla and Dhurandhar 2 Box Office: Horror-Comedy Delivers Good Second Weekend As Spy Actioner Remains Strong In Sixth Weekend
BY SACNILK
Mumbai, April 26 - Superstar Akshay Kumar-fronted Bhooth Bangla continues to perform well at the box offi... [13176 chars]",https://sacnilk.com/quicknews/bhooth_bangla_2026_Box_Office_Collection_Day_11,2026-04-26T20:12:56Z,Sacnilk,Nepal
Focus shifts to RIL's non-oil operations,"Reliance Industries' March quarter results saw oil and gas businesses face pressure. Digital, telecom, and retail segments provided support. Investors will watch non-oil business performance for future earnings momentum. The company's new energy GIGA factory is set to become operational this year. Telecom ARPU saw a modest increase. Retail revenue grew, but Ebitda growth was limited.","Synopsis
Reliance Industries' March quarter results saw oil and gas businesses face pressure. Digital, telecom, and retail segments provided support. Investors will watch non-oil business performance for future earnings momentum. The company's new en... [3755 chars]",https://economictimes.indiatimes.com/news/company/corporate-trends/focus-shifts-to-rils-non-oil-operations/articleshow/130539234.cms?from=mdr,2026-04-26T19:59:45Z,The Economic Times,India
"DC gunman Cole Thomas Allen said in his manifesto that he would spare one Trump administration official, and it was...",US News: A gunman who attempted to attack the White House Correspondents’ Association event in Washington DC reportedly compiled a 1000-word manifesto in which.,"A gunman who attempted to attack the White House Correspondents’ Association event in Washington DC reportedly compiled a 1000-word manifesto in which he listed his intended targets, while singling out one Trump administration official he did not pla... [2030 chars]",https://timesofindia.indiatimes.com/world/us/dc-gunman-cole-thomas-allen-said-in-his-manifesto-that-he-would-spare-one-trump-administration-official-and-it-was-/articleshow/130538143.cms,2026-04-26T19:32:00Z,The Times of India,India
"Apple iPhone 18 Pro Color Options Revealed, Beloved Shade Missing",Discover the new color options for Apple’s iPhone 18 Pro revealed today. Find out which popular shade is missing from the latest lineup.,"The iPhone 18 Pro is emerging as one of Apple’s most eagerly awaited launches, with recent revelations offering captivating glimpses into its design and available color schemes.
Industry insiders report four potential finishes: light blue, dark cherr... [4669 chars]",https://www.rswebsols.com/news/the-color-options-for-apples-iphone-18-pro-have-been-revealed-but-one-beloved-shade-is-absent/,2026-04-26T19:00:00Z,RS Web Solutions,India
India reels under severe heatwave; 98 of world’s hottest cities recorded in country,"Temperatures in many regions have surpassed 40°C, with some locations nearing 45°C, pointing to a trend of increasingly intense heatwaves.","India is witnessing severe heatwave conditions across several regions, with 98 of the world’s 100 hottest cities currently located in the country, raising concerns over the impact of rising temperatures.
According to data from AQI.in, India is experi... [1686 chars]",https://www.newindianexpress.com/nation/2026/Apr/26/india-reels-under-severe-heatwave-98-of-worlds-hottest-cities-recorded-in-country,2026-04-26T18:56:22Z,The New Indian Express,India
